volFrac,thetaX,thetaY,thetaZ,stiffness0,stiffness1,stiffness2,stiffness7,stiffness8,stiffness14,stiffness21,stiffness28,stiffness35
0.27645,78.4915,50.1782,0,0.031152,0.0068632,0.0089421,0.034221,0.0086868,0.044705,0.013343,0.013317,0.010522
0.57426,57.3051,20.7835,0,0.22322,0.095603,0.10673,0.36183,0.12172,0.45487,0.13332,0.11252,0.096587
0.48874,35.2603,28.7873,0,0.14125,0.037955,0.064547,0.17634,0.067728,0.39411,0.082435,0.075728,0.040307
0.2221,69.0951,62.8425,0,0.015294,0.0026247,0.0035566,0.014483,0.0034987,0.021245,0.0059576,0.0061085,0.0047791
0.40091,73.9119,83.2061,0,0.1274,0.036625,0.039527,0.12835,0.039763,0.14077,0.047165,0.047264,0.043343
0.44328,86.1709,34.187,0,0.17224,0.051977,0.053725,0.1741,0.051831,0.18184,0.059892,0.061559,0.0596
0.38146,17.4027,47.1096,0,0.12275,0.017697,0.035854,0.037799,0.02557,0.19975,0.030065,0.052883,0.021693
0.22409,26.3818,23.2613,0,0.0092886,0.00093069,0.0027925,0.011067,0.0029068,0.050676,0.0055173,0.0051684,0.002166
0.64738,58.7403,66.1825,0,0.45896,0.15275,0.16662,0.44503,0.1655,0.52153,0.16342,0.16459,0.14805
0.22299,71.7011,15.1578,0,0.012015,0.0028721,0.0032009,0.018534,0.0035187,0.021752,0.0063469,0.0054222,0.0049895
0.10076,21.0871,35.052,0,0.0065413,0.00047317,0.001072,0.0027807,0.00079907,0.010787,0.0013302,0.0021232,0.0010406
0.23199,21.9084,18.3587,0,0.0091036,0.0011035,0.0030422,0.018512,0.004991,0.076731,0.0092322,0.0047619,0.0025139
0.28371,21.6509,16.4636,0,0.015388,0.0020771,0.0063996,0.034628,0.0089081,0.13527,0.015727,0.010032,0.0041631
0.37936,18.3884,43.3583,0,0.11496,0.01527,0.033472,0.034005,0.023748,0.20223,0.028519,0.050034,0.01918
0.61764,18.1041,39.6661,0,0.47076,0.098607,0.15782,0.23014,0.11186,0.57322,0.11296,0.17022,0.09404
0.30806,28.7508,15.2139,0,0.015606,0.0036829,0.0087389,0.054334,0.01497,0.14946,0.026989,0.011402,0.006059
0.64552,37.7428,81.818,0,0.4704,0.15217,0.15798,0.44129,0.15702,0.48859,0.1547,0.15679,0.14879
0.60089,17.9985,56.4674,0,0.43061,0.11314,0.14235,0.26172,0.12306,0.49042,0.12563,0.15051,0.11276
0.47732,47.8685,62.4982,0,0.19117,0.054948,0.069525,0.16833,0.070011,0.2824,0.079255,0.080321,0.059378
0.3823,73.9793,16.3632,0,0.081877,0.029582,0.032397,0.11869,0.033723,0.13196,0.042403,0.038482,0.035261
0.29912,64.4666,34.9795,0,0.035087,0.0094054,0.014997,0.043262,0.014553,0.084873,0.020728,0.020417,0.013251
0.40136,87.4431,45.8264,0,0.12612,0.037062,0.036845,0.12999,0.037797,0.13114,0.044873,0.04348,0.044214
0.26275,15.8217,15.0173,0,0.013748,0.0011006,0.0052461,0.016081,0.0049341,0.13347,0.0091553,0.0091053,0.0025909
0.37209,69.2388,76.3615,0,0.09889,0.027826,0.029535,0.099272,0.030647,0.10897,0.037982,0.036777,0.033718
0.2559,26.4255,31.1524,0,0.02,0.0018601,0.0063279,0.013081,0.0052581,0.082987,0.0084667,0.011392,0.0038044
0.55143,29.3616,20.5016,0,0.19248,0.051531,0.083823,0.28753,0.10073,0.51089,0.11709,0.090552,0.049867
0.35507,57.4532,15.0109,0,0.038193,0.017938,0.021984,0.10004,0.028318,0.14236,0.040261,0.027059,0.022093
0.48311,58.1003,74.888,0,0.20947,0.064226,0.071479,0.2076,0.072183,0.24928,0.080836,0.080094,0.070207
0.37973,15.0029,19.4953,0,0.082036,0.006005,0.02683,0.041848,0.019265,0.29824,0.024005,0.038665,0.0087053
0.32836,18.8702,36.8876,0,0.065359,0.0065484,0.019481,0.021077,0.013297,0.16,0.016772,0.033374,0.0096392
0.4466,28.3215,20.6356,0,0.069663,0.019206,0.036853,0.15769,0.05412,0.36104,0.073519,0.043763,0.022026
0.22274,28.2834,15.1282,0,0.0065255,0.0012313,0.0027274,0.021047,0.0054484,0.057366,0.01033,0.0042115,0.002463
0.28147,19.3647,59.9149,0,0.046027,0.0068702,0.010722,0.019842,0.0087434,0.063771,0.012625,0.017828,0.010139
0.32838,62.0301,15.836,0,0.031677,0.013335,0.016324,0.081543,0.021073,0.10047,0.030662,0.021044,0.017715
0.49367,82.9509,36.0362,0,0.22115,0.069804,0.074449,0.23344,0.075019,0.25898,0.083673,0.082322,0.075783
0.54629,80.122,33.2107,0,0.27962,0.094757,0.10118,0.31594,0.1015,0.33634,0.10924,0.1077,0.099617
0.52199,15.4454,61.0319,0,0.30378,0.075889,0.095546,0.17058,0.083533,0.34828,0.089466,0.10887,0.079449
0.62521,31.1598,87.9724,0,0.42539,0.14211,0.1416,0.43369,0.14489,0.44422,0.14548,0.14181,0.14186
0.48383,27.7456,52.7684,0,0.21928,0.05226,0.07308,0.13465,0.069013,0.3283,0.077064,0.087492,0.055774
0.49422,37.4031,17.9301,0,0.09998,0.040696,0.056107,0.24848,0.080147,0.3944,0.10024,0.06241,0.042158
0.38664,26.8628,15.3011,0,0.029517,0.0095214,0.018468,0.12067,0.037071,0.26957,0.057927,0.022462,0.012156
0.37918,16.4362,27.4247,0,0.084988,0.0077818,0.028056,0.035141,0.019377,0.26553,0.024889,0.043785,0.010747
0.23194,29.0786,48.5592,0,0.01727,0.0019813,0.0043105,0.010097,0.0037032,0.037497,0.0060831,0.0078903,0.0036868
0.58067,85.6949,59.0588,0,0.35822,0.11513,0.11886,0.35051,0.11862,0.37349,0.12296,0.12378,0.11888
0.23499,38.7598,40.0543,0,0.014853,0.001998,0.0055668,0.01291,0.0047776,0.053984,0.0078864,0.0091484,0.0037887
0.50298,24.415,32.489,0,0.20441,0.03812,0.07489,0.14748,0.067105,0.42483,0.076197,0.091719,0.039467
0.45605,15.0202,68.4907,0,0.21581,0.052422,0.062442,0.12552,0.05724,0.22923,0.063484,0.074158,0.058081
0.61318,32.3643,28.8595,0,0.30593,0.088224,0.12263,0.36114,0.13615,0.59279,0.14544,0.12812,0.083068
0.14355,43.1909,42.0958,0,0.004748,0.00063252,0.0011475,0.005015,0.0010698,0.012324,0.0020387,0.0019593,0.0012687
0.57706,65.2534,49.0137,0,0.31369,0.1046,0.12101,0.3214,0.11869,0.42619,0.12532,0.12769,0.10655
0.23152,73.9182,23.4979,0,0.013718,0.0030982,0.0038661,0.019369,0.0041654,0.026515,0.007042,0.0064031,0.0051484
0.43273,67.648,15.005,0,0.1042,0.044479,0.049032,0.18109,0.053953,0.20996,0.065856,0.055901,0.049477
0.58373,37.251,75.1316,0,0.35429,0.11263,0.12116,0.33464,0.12407,0.41686,0.12996,0.12613,0.11465
0.59551,50.2341,71.9016,0,0.3606,0.1174,0.12973,0.35762,0.13201,0.43602,0.13651,0.13402,0.11819
0.44613,84.4117,28.956,0,0.16387,0.05151,0.053761,0.17864,0.05381,0.19254,0.06306,0.061832,0.058468
0.53366,21.475,66.825,0,0.30682,0.083307,0.097647,0.20943,0.091598,0.3535,0.098088,0.10876,0.087329
0.25473,15.0132,43.2486,0,0.038978,0.0034374,0.0087395,0.010376,0.0055369,0.066062,0.0078997,0.016845,0.0055809
0.42728,33.4822,15.1459,0,0.046467,0.020745,0.032289,0.18038,0.053967,0.29858,0.07618,0.035078,0.022947
0.35804,30.3012,61.3801,0,0.079175,0.017739,0.025998,0.055301,0.027105,0.14462,0.033427,0.03552,0.022155
0.40145,61.939,23.8468,0,0.073597,0.029252,0.037044,0.1315,0.039359,0.18968,0.051851,0.044271,0.034055
0.31892,58.4433,38.2981,0,0.04017,0.010409,0.018701,0.04829,0.017381,0.11386,0.025043,0.025351,0.014397
0.53523,17.3997,18.5465,0,0.19552,0.033543,0.072457,0.2099,0.077999,0.52413,0.091354,0.085997,0.032776
0.43958,16.3586,23.9712,0,0.13861,0.014315,0.047242,0.073058,0.036285,0.36455,0.043502,0.063688,0.017374
0.59943,18.1849,17.0882,0,0.3135,0.058732,0.114,0.2938,0.10742,0.61796,0.11592,0.12449,0.053919
0.58088,38.5948,68.0976,0,0.34329,0.10634,0.12195,0.3043,0.1213,0.43681,0.12724,0.129,0.10778
0.18237,68.1908,25.5421,0,0.0057622,0.0010667,0.0013149,0.0081821,0.0012606,0.010155,0.0025776,0.0024328,0.0021206
0.4575,26.899,31.751,0,0.14605,0.024858,0.055661,0.10414,0.048471,0.36344,0.058533,0.071604,0.02789
0.12738,64.8881,53.7576,0,0.0043193,0.0006522,0.0006655,0.0043094,0.0007027,0.0051199,0.0014704,0.0012903,0.0013003
0.36809,51.3719,39.1509,0,0.061914,0.017894,0.030472,0.07403,0.02921,0.1753,0.038487,0.038058,0.021698
0.35312,19.3513,89.206,0,0.090152,0.024462,0.024155,0.088259,0.024543,0.087076,0.030367,0.030477,0.030417
0.48066,60.0566,24.5269,0,0.13812,0.05511,0.067867,0.22363,0.071641,0.29435,0.084955,0.075779,0.05982
0.19545,21.4297,87.8053,0,0.010729,0.0016437,0.0016466,0.0098943,0.0016435,0.0098959,0.003049,0.0030994,0.0031494
0.33196,33.0046,67.7258,0,0.064969,0.014657,0.019674,0.047424,0.019763,0.10195,0.026113,0.027542,0.019142
0.4373,38.0912,72.6498,0,0.15838,0.044343,0.052486,0.13775,0.054413,0.21055,0.062636,0.061898,0.049922
0.28395,35.7389,20.1539,0,0.015012,0.003247,0.0080199,0.034334,0.010479,0.10109,0.017763,0.01133,0.005574
0.22518,58.4368,51.9635,0,0.013671,0.0022692,0.0041013,0.01394,0.0041293,0.030409,0.0069244,0.0069055,0.0042427
0.13373,50.8158,37.5383,0,0.0031427,0.00044173,0.0007883,0.0038309,0.00062282,0.0081759,0.0012806,0.0014311,0.00099644
0.53145,51.1456,37.8373,0,0.2045,0.069937,0.09071,0.24996,0.093535,0.40907,0.10611,0.099869,0.071168
0.34708,23.7801,17.7765,0,0.03103,0.0052435,0.01664,0.061704,0.021154,0.22734,0.030829,0.02172,0.0077356
0.63379,16.5119,71.4121,0,0.46787,0.14254,0.1578,0.36707,0.1475,0.50474,0.14682,0.15971,0.14013
0.13143,77.6861,55.9716,0,0.0051241,0.00067102,0.00092583,0.0053623,0.0010138,0.0070818,0.0018311,0.0018756,0.0013556
0.50838,79.5362,19.3617,0,0.22358,0.07729,0.082273,0.26468,0.081151,0.27368,0.089905,0.089499,0.083577
0.2504,38.8778,82.2524,0,0.024573,0.004922,0.0055748,0.023604,0.0059718,0.029849,0.00923,0.0089733,0.0077959
0.30713,20.4878,26.467,0,0.03436,0.0030771,0.011018,0.019969,0.010071,0.15375,0.014357,0.019552,0.0054174
0.26642,58.3019,56.709,0,0.023963,0.0051589,0.0083017,0.025873,0.008397,0.051597,0.012854,0.01233,0.0080521
0.17592,17.4312,15.1285,0,0.0093323,0.00058234,0.0032317,0.0068564,0.0019881,0.070647,0.0036436,0.0058349,0.0014778
0.40619,19.1487,52.6345,0,0.1563,0.028316,0.045364,0.057517,0.035939,0.21496,0.041618,0.061322,0.032483
0.59138,35.6381,41.7308,0,0.33466,0.092685,0.12736,0.28513,0.1198,0.53238,0.12701,0.13685,0.090637
0.21815,16.5621,29.8803,0,0.014947,0.0010497,0.0038434,0.007025,0.0025908,0.05101,0.0040387,0.0074577,0.0022363
0.10766,15.9832,39.6169,0,0.0034324,0.00030793,0.00057124,0.0025278,0.00078975,0.010026,0.0014501,0.0016068,0.00067485
0.23634,24.435,49.5085,0,0.020129,0.0026091,0.0055051,0.01117,0.0050194,0.049391,0.0077553,0.0099049,0.0045851
0.63326,37.3992,24.0045,0,0.31043,0.10515,0.13445,0.43822,0.15568,0.61319,0.16253,0.13752,0.099589
0.17974,18.0829,27.6956,0,0.013014,0.00083313,0.0026831,0.0047755,0.0019215,0.046853,0.0033364,0.004833,0.0017823
0.39169,59.4933,38.8974,0,0.082573,0.026219,0.038168,0.10176,0.036517,0.18534,0.04603,0.04663,0.031137
0.27605,15.0096,15.9814,0,0.015445,0.0013644,0.0063651,0.018994,0.0068175,0.16726,0.010435,0.010259,0.002949
0.41083,74.4882,19.888,0,0.10725,0.038846,0.042735,0.14771,0.043397,0.16912,0.052587,0.049615,0.044449
0.63155,15.9024,43.7509,0,0.50971,0.11421,0.17043,0.24693,0.12278,0.57686,0.12238,0.17895,0.11024
0.3154,54.8371,32.1886,0,0.030349,0.0088053,0.015365,0.049316,0.0161,0.11266,0.024685,0.02117,0.012441
0.30676,16.4314,28.2345,0,0.05252,0.0035555,0.014798,0.015481,0.0090049,0.15005,0.011229,0.027678,0.0060221
0.61704,82.9303,32.0156,0,0.39939,0.13423,0.14108,0.41573,0.14003,0.44381,0.14184,0.14279,0.13451
0.41162,39.8821,16.2277,0,0.042967,0.021829,0.031268,0.16891,0.048473,0.25729,0.068252,0.034851,0.024645
0.29466,15.0002,15.4278,0,0.029316,0.0018088,0.0096947,0.020495,0.0079492,0.19179,0.012959,0.016599,0.00369
0.38326,44.0955,26.8736,0,0.051733,0.016774,0.0288,0.098773,0.034685,0.22683,0.048301,0.036152,0.020489
0.6034,17.6243,64.3207,0,0.42193,0.12044,0.13977,0.29713,0.12954,0.46886,0.13245,0.14565,0.12047
0.62297,63.1078,15.0247,0,0.31035,0.13001,0.13755,0.46257,0.1522,0.4982,0.15697,0.1387,0.12964
0.21467,73.3382,63.1472,0,0.012684,0.0022568,0.0026066,0.014419,0.002915,0.017529,0.0052078,0.0048677,0.0041663
0.23426,22.1466,16.8253,0,0.010078,0.0011454,0.0033332,0.016981,0.004386,0.083475,0.0072023,0.005792,0.0025103
0.32994,82.7346,38.5259,0,0.063441,0.017828,0.019443,0.069549,0.019407,0.081677,0.025341,0.025039,0.022804
0.38523,60.9136,17.973,0,0.054837,0.024454,0.030781,0.12303,0.035532,0.16709,0.048796,0.036643,0.02968
0.35425,78.5253,46.086,0,0.077188,0.021922,0.025977,0.084704,0.025832,0.10773,0.032835,0.032712,0.027099
0.3221,44.9496,45.2847,0,0.041604,0.0089016,0.017429,0.037793,0.01752,0.13161,0.024164,0.025095,0.012445
0.55255,85.9894,24.5232,0,0.30679,0.10011,0.10265,0.31946,0.10257,0.32758,0.10888,0.10851,0.10569
0.53156,32.9285,86.8647,0,0.29338,0.090617,0.092077,0.27753,0.090747,0.29927,0.097172,0.098968,0.096397
0.26619,22.1779,21.1249,0,0.020059,0.0018196,0.0070966,0.019294,0.006817,0.12455,0.011216,0.012706,0.0037055
0.45261,37.5955,60.1217,0,0.16197,0.043116,0.057168,0.13328,0.059714,0.26449,0.06979,0.068351,0.047861
0.30956,30.5518,16.3869,0,0.01597,0.0041714,0.0086845,0.052114,0.015018,0.14207,0.028421,0.011014,0.0066821
0.24468,51.7705,68.7597,0,0.021013,0.0040608,0.0058534,0.019992,0.006055,0.03489,0.0095707,0.0093791,0.0066408
0.31133,43.7847,16.2064,0,0.018565,0.0071586,0.011074,0.062393,0.016421,0.11582,0.02853,0.015149,0.010378
0.40291,20.9029,18.5708,0,0.060343,0.0085384,0.026322,0.085599,0.031956,0.32327,0.043553,0.034557,0.011831
0.43451,21.4398,28.2636,0,0.12753,0.016261,0.045607,0.07374,0.035836,0.35043,0.043639,0.061893,0.01883
0.41238,84.5862,83.1671,0,0.13746,0.040437,0.041748,0.13894,0.041703,0.14489,0.048871,0.049103,0.047221
0.61411,49.325,51.3095,0,0.354,0.11664,0.13993,0.3685,0.14236,0.51503,0.14751,0.14375,0.11449
0.54195,18.1585,21.1679,0,0.26231,0.037866,0.091609,0.17182,0.070461,0.52485,0.079394,0.10874,0.037395
0.33425,70.5834,50.893,0,0.060081,0.016351,0.021949,0.064822,0.021288,0.097638,0.028084,0.028376,0.021166
0.47742,50.596,34.301,0,0.13233,0.046405,0.064024,0.18839,0.067624,0.32948,0.08158,0.073947,0.050179
0.54152,35.4808,64.18,0,0.28352,0.083736,0.098226,0.24507,0.1014,0.38592,0.10985,0.10735,0.0865
0.46406,78.0443,15.2328,0,0.16413,0.05853,0.061172,0.21374,0.062516,0.21839,0.072225,0.068139,0.065486
0.23507,16.2076,39.5845,0,0.023266,0.001803,0.0051896,0.0069343,0.002952,0.045688,0.0044183,0.010371,0.0033359
0.49324,39.6965,74.595,0,0.22786,0.065828,0.076132,0.19713,0.075892,0.28093,0.084531,0.085642,0.071045
0.37842,28.6009,84.3146,0,0.1078,0.029373,0.031552,0.10021,0.03145,0.11832,0.038027,0.038765,0.035463
0.55952,19.5066,15.3927,0,0.1951,0.041544,0.077734,0.30729,0.10572,0.55699,0.12124,0.083316,0.040866
0.51681,32.3196,32.0774,0,0.19138,0.046161,0.07851,0.1921,0.078741,0.43906,0.091572,0.090068,0.047675
0.63432,58.3945,15.2955,0,0.29945,0.13301,0.13927,0.49989,0.16608,0.53631,0.17035,0.13836,0.13062
0.41676,20.0218,70.3333,0,0.14721,0.037713,0.044486,0.10188,0.044625,0.19257,0.051965,0.054556,0.042686
0.49512,88.412,32.3609,0,0.23993,0.073957,0.075557,0.23816,0.073658,0.24307,0.080965,0.082904,0.080747
0.29077,20.0539,66.9029,0,0.049078,0.008565,0.012105,0.026503,0.011085,0.063188,0.015641,0.018932,0.012597
0.42462,67.2572,32.5733,0,0.11265,0.037572,0.048307,0.14644,0.047043,0.20284,0.057154,0.056107,0.042389
0.18595,24.4702,24.507,0,0.0049834,0.00052368,0.0013054,0.0072321,0.001699,0.025785,0.002919,0.0027,0.0012589
0.2062,79.824,19.1049,0,0.0099008,0.0020677,0.0020711,0.013877,0.0023364,0.013931,0.0044288,0.0038105,0.0037361
0.17285,15.1159,43.5378,0,0.0090044,0.00070818,0.0015826,0.0032894,0.0010367,0.015402,0.0017669,0.0034056,0.0014323
0.59166,71.9271,32.7059,0,0.33,0.1138,0.12734,0.36493,0.12485,0.43295,0.13029,0.13234,0.11529
0.61226,88.3255,16.8889,0,0.41162,0.13556,0.13517,0.41342,0.13534,0.41216,0.13678,0.13695,0.13723
0.37849,73.4889,60.9871,0,0.095141,0.027815,0.032898,0.099563,0.033013,0.12562,0.040501,0.04026,0.033264
0.41063,15.0042,25.489,0,0.14373,0.012496,0.045934,0.039666,0.024505,0.30924,0.027951,0.066067,0.014675
0.53921,22.0826,33.5829,0,0.28724,0.053476,0.099308,0.16657,0.078135,0.48036,0.085768,0.11727,0.052437
0.60544,80.2009,21.6732,0,0.37467,0.12818,0.13334,0.40216,0.133,0.42275,0.13629,0.13612,0.12993
0.26682,15.0006,18.9243,0,0.023727,0.0015152,0.0078113,0.012198,0.0055341,0.12811,0.0087583,0.013158,0.003253
0.57781,15.0005,20.325,0,0.32629,0.046045,0.11206,0.19225,0.077816,0.57727,0.086309,0.12957,0.044302
0.48413,79.856,38.7505,0,0.21149,0.067022,0.07283,0.22159,0.070564,0.24209,0.078828,0.080478,0.073455
0.15149,78.9558,81.6686,0,0.0076519,0.0012093,0.0010928,0.0071739,0.00089003,0.0069217,0.0018568,0.0020755,0.002334
0.57599,69.6275,61.1728,0,0.32583,0.1067,0.11834,0.32891,0.11856,0.39476,0.12491,0.12441,0.10969
0.36568,63.2123,61.4679,0,0.084295,0.023464,0.030689,0.081618,0.029801,0.12658,0.037449,0.038433,0.028497
0.4861,49.4398,17.4717,0,0.099374,0.048975,0.058313,0.25787,0.080162,0.34022,0.099047,0.064188,0.051549
0.29268,89.2684,30.7752,0,0.044387,0.010798,0.011219,0.043507,0.01118,0.048093,0.015496,0.015762,0.015135
0.41365,48.3937,50.9628,0,0.10896,0.029744,0.044522,0.099954,0.044952,0.22933,0.054995,0.055542,0.034489
0.49069,35.0102,29.836,0,0.14852,0.037358,0.066053,0.17694,0.068934,0.40029,0.082792,0.075808,0.039403
0.14296,74.8384,62.8485,0,0.0051041,0.00064016,0.00089346,0.0051577,0.001033,0.0070747,0.0019773,0.001749,0.0013171
0.33086,46.595,38.0637,0,0.040578,0.010977,0.020864,0.050998,0.020278,0.1454,0.028761,0.027517,0.014752
0.23024,36.5824,19.0013,0,0.0069396,0.0013907,0.002895,0.020049,0.0048806,0.052348,0.0095896,0.0046476,0.0028586
0.47757,25.5922,25.2837,0,0.13194,0.026333,0.053928,0.15419,0.060621,0.41026,0.074886,0.065436,0.028084
0.23986,85.3348,72.3901,0,0.021988,0.0044367,0.0047346,0.022587,0.0047596,0.023144,0.0076535,0.0076558,0.0073757
0.54558,57.7789,62.4348,0,0.27552,0.088913,0.10253,0.27564,0.10365,0.36716,0.11185,0.11063,0.092617
0.42013,22.3583,77.8823,0,0.15035,0.04148,0.045387,0.12456,0.046052,0.17222,0.052904,0.053911,0.047842
0.39126,42.1483,77.1864,0,0.12043,0.03232,0.036918,0.10142,0.036501,0.14618,0.043895,0.04484,0.037568
0.49652,33.7157,22.5355,0,0.11952,0.037991,0.060628,0.23101,0.078114,0.41022,0.096869,0.068445,0.039423
0.29352,18.532,88.9839,0,0.047299,0.011637,0.011526,0.046813,0.011241,0.046332,0.015662,0.015888,0.016196
0.36066,21.5119,43.0192,0,0.10385,0.013454,0.029749,0.031645,0.020664,0.17959,0.025401,0.045715,0.017294
0.30486,33.6091,15.1363,0,0.014155,0.0054378,0.0091669,0.061288,0.01687,0.13207,0.029509,0.011875,0.007925
0.56114,21.0875,89.7639,0,0.33211,0.10572,0.10659,0.33438,0.1056,0.32979,0.11116,0.11197,0.11151
0.10425,15.8673,15.1918,0,0.0042518,0.00027049,0.0011798,0.0038119,0.00070279,0.025343,0.0012563,0.0023903,0.00073374
0.13175,47.5708,74.9599,0,0.0046734,0.00059755,0.00070061,0.0039679,0.00070455,0.0057164,0.0015033,0.0015268,0.0012531
0.42791,39.4415,28.7661,0,0.080152,0.023675,0.041863,0.12828,0.048537,0.29688,0.06328,0.050225,0.027027
0.28784,64.9305,15.1734,0,0.021531,0.0075772,0.0092453,0.046859,0.010992,0.058383,0.017635,0.012908,0.011
